ID,Tags,Text
392,,"Staff was exceptionnaly efficient, carefull and dedicated, explaining and answering to questions."
391,Care,I am really grateful to all those in  Hospital who took care of me with efficiency and dedication. I was efficiently treated an did not have to pay anything from entering the ambulance to getting out of the Hospital.
389,,the very 1st nurse i saw she was amazing so understanding .
387,"Staff,Care",when admitted to the ward the care was bad they havnt got enough staff and then couldnt find medication and when you want to discuss anything with the staff they are either to busy or the staff for you bay isnt available the hygiene is good as there has been dried blood under my daughters bed for 3 days although we have told the staff
386,Facilities,"I found it very distressing that once you have recovered from, theatre - you are taken to a mixed ward. When i needed to go to the toilet I had to walk past a lot of men in beds in a rather revealing hospital gown when I was in a lot of discomfort following the procedure. "
385,Check-in,I did not find the appointment at all a nice experience.
384,Check-in,never got appontment after heart problems
383,,"The Medical staff were superb! Very professional and efficient, whilst friendly and warm."
382,,The staff were very sympathetic and helpful with all the information I needed.
381,Care,"The treatment was speedy and I was aware of everything that was going on and updated at all times, the after care has been tremendous."
380,,"All the staff were incredibly efficent, friendly."
379,,My daughter was treated by the Early Intervention Team with great success and all members of the Team were so helpful and kind and effective during a very difficult period.
378,"Staff,Facilities","The medical staff appeared to listen to what I had to say. They even (unlike in the past) re-arranged the ward round time so I, who had a long journey, did not have to hang around while they stuck to patients in their predetermined order,"
377,,Was even given a menu choice for sandwiches
376,Care,The operation took place pretty much at the time they had predicted  and I was weel cared for until my husband picked me up.
375,Facilities,"The ward was very clean, open and airy. It smelt fresh and was calming in appearance."
374,,"The doctor and the nursing assistant and reception, thanks for a very professional service last Sunday when I attended with a chest infection"
373,,"The nurse and doctor were efficient, friendly and reassuring and also charming.  They explained everything about their diagnosis, treatment."
372,,All the staff were caring and considerate.
371,Check-in,Brilliant experience in outpatient dept. No waiting.
370,Facilities, All areas of the hospital I saw were clean and tidy.
369,Facilities,Nice gardens with lot of space
368,Check-in,"everyone was friendly even had tea and biscuits while waited,"
367,Check-in," My appointment proceeded on time, and I was not kept waiting unduly at any point during my visit. "
366,,"I was very well treated by all of the staff who looked after me on my recent visit to the Outpatients Department for a respiratory problem.  They were very kind, courteous and helpful.  "
365,Facilities,Clean toilets.
364,,Very helpful staff.
363,Facilities,The clinic appears to be clean and well maintained.
362,Check-in,Each time I make an appointment I later receive a cancellation and a new appointment made. This has happened 5 times in the last two years. each time there is a further delay of one - two months. The appointment booking system here is a joke.
361,Facilities,Modern bright surroundings
360,Check-in,Seen very quickly didnt have to wait long in waiting room.
359,,"the staff were helpful, friendly, competent."
358,"Care,Staff",The care given by all the nurses was very supportive and I felt confident in all treatments and advice given.   The surgeon came to see me personally re postponement and then again after my surgery. 
357,, From the nurses to the doctor everyone treated me with respect and kept me informed as to my treatment.
356,Care,I can't fault the care I had as an inpatient (or as an outpatient during investigation) at this inspirational hospital.
355,,Staff was amazing and was treated with so much respect.
354,Facilities,The Day Surgery Unit is clean and ordered.
353,,All staff I spoke to were very helpful and polite. The nurse practicioner I saw for a colposcopy explained everything thoroughly and was very kind and reassuring.
352,Facilities,Hospital was very clean.
351,,"Sympathetic treatment by nurses in the early pregnancy diagnostic unit after my miscarriage. Two nurses were professional and sympathetic, and put me at ease during my scan."
350,Facilities,Radiology department and ECG department were clean. A&E department was not clean. Some part of hospital is modern compare to other part.
349,,the doctors and staff to be kind and caring
348,,"We encountered 3 nurses, the receptionist, a radiographer and a doctor, all of whom were not only quick workers (who obviously knew what they were doing) but also friendly, ready with a smile to make us feel at ease."
347,Care, I have always found the care to be excellent .
346,Facilities,The cafeteria is an excellent facility
345,,The staff who dealt with me in the clinic were very helpful and supportive.
344,Facilities, It goes without saying the facilities are amazing.
343,Care,the care was fantastic.
342,Care, I felt really cared for. I think I had the best experience possible
341,,"the midwives were superb - kind, patient, supportive."
340,,"The Consultant, Surgeon, Doctors and the Oncology department as a whole (including front desk staff) were clear, helpful, kind and understanding, as well as offering excellent medical practice."
339,Facilities,the hospital was clean.
338,Facilities,Used to be quick and on time with Blue Badge parking available  now will not address no blue badge parking blaming . Having clinical trial with third of people disabled if go up in scooter there will be health & safety issues - fire .
337,"Check-in,Staff",The receptionist was rude when I complained and said I would have to wait 3 weeks for a new appointment
336,Care,"The care - there were several times when people took more trouble with me than they strictly needed to - coming up to the ward to see how I was getting on, for example. "
335,Care,"I was treated by the A&E Dept for a broken toe. I had a wait for an X-Ray and then for treatment.I was asked whether I wanted an injection for local anaesthetic, but advised that it was not recommended, as there is a risk of infection - this involved me in the treatment and was good"
334,,"The staff (doctors and nurses) were exceptionally helpful and kind, giving up their own spare time to ensure my wife could get scans done quickly and save her discomfort & stress."
333,Facilities,The out-patients area was very clean and tidy.
332,,There staff and doctors were all very helpful towards him and very professional.  
331,Facilities,"The cardiac ward, is spacious, light and state-of-the-art. "
330,Care,"My treatment was both kind and vigilant, which is exactly what a worried, unwell person needs. "
329,"Staff,Care","Staff were professional and respectful, provided high standard of care in three departments."
328,Care,she had a complete examination there.
327,,The radiographer was very through and explained what he was doing during the whole procedure.
326,,All the staff involved were professional and courteous.
325,Care,My six month old son received excellent care at the Paediatric Ophthalmology Clinic. 
324,Check-in,Appointments on time.
323,,Staff friendly
322,,The courtesy and professionalism of all staff and the care and dedication of all involved in the midwifery team.
321,,How convincing the staff were that they knew what they were talking about
320,, The food wasn't great though - a bit hit and miss.
319,Facilities,The ward was cleaned several times daily
318,Care,The patient care and professionalism.
317,,the staff and doctors were kind caring and courteous and very hard working.
316,,"Even with the lack of staff and resource to their disposal they are always willing to help, give advice and try to give the best care possible."
315,,"The diabetic clinic staff, under staffed and over worked but always ready to help"
314,Check-in,"Seen quickly in A&E, monitored and discharded home all in 2-3 hours, after being knocked out."
313,Check-in,There is nothing I liked at all I waited THREE  hours to be seen. 
312,,Most of the staff where very nice and helpful.
311,Facilities,The whole place was incredibly clean and easy to get around
310,,The food is excellent and there is a good choice.
309,Care,The only bad point about my care medically speaking was that they never gave me any information about the drugs I was receiving. I had numerous tablets placed in front of me and was expected to take them without any questions asked. 
308,Check-in,"I had an appointment for an x-ray and although it was very busy, the system was very efficient, as quick as possible."
304,, They treat you with respect and compassion at what can be a confusing time. Everthing is explained to you and the open evening is a very good idea. I'm very grateful to the team for the help they have given us.
303,Care,"I was on 'ambulatory care' of the new QE hospital. Just had a minor procedure, "
302,Care,I  have been very happy with the care that I have received there. 
301,,"I spent a few hours at the Early Pregancy Unit today, and found all members of staff who I came into contact with extremely pleasant, kind and welcoming. They were clearly really busy and running late impacting on the clinical staff's lunch break, but this did not affect their professionalism or attitudes; I was really impressed."
300,,Friendly efficient staff in the Haematology Clinic.
298,Check-in,On arrival at the ENT reception I was quickly attended to and shown where to sit to await the Dr.
297,,When I was finally admitted for my surgery the nursing staff and my new consultant were wonderful.
296,Check-in,I did not have to wait for very long.
295,,The doctor was thorough.
294,,I  thought the domestic staff and ward housekeeper were kind and friendly. They worked hard but still had time for a kind word especially when I was upset. One of the nurses on the ward was also very caring. The porters were nice and made conversation.
293,Check-in,The waiting time in ENT out patients was rather lengthy.
292,"Check-in,Facilities",waiting area had plenty of seats
291, Facilities,"I was a patient in Maternity Unit. The Unit was clean, and the food was quite good."
289,Check-in,Waiting time was short.
288,,Staff courteous. 
287,,All staff were very professional
286,Check-in,"There was not too long a queue at the check in desk.  The receptionist noted my appointment time on my file, on the sheet related to that appointment."
285,Staff, The staff where very good and polite and they looked after me and treated me like everyone else and not just like a child even though I am 23 yrs old.
284,,the quality of the food needs to be looked at.
283,Staff,"Some of the midwives leave a lot to be desired, some even seem as if they cannot be bothered."
282,Staff,"I received surgery from an outstanding surgeon and assistants all the staff i had contact with were pleasant kind and cheerful they helped me through a very worrying time and I am very grateful to them, thank you all very much."
281,Staff, The staff where very good and polite and they looked after me and treated me like everyone else and not just like a child even though I am 23 yrs old.
280,Staff,"Everyone the cleaners, secretaries, nurses the surgeons were fantastic! Well done is all I can say."
279,Care,The care and treatment I was given was exceptional.
278,Staff,"The Doctor's, Midwives, Nurses and all other staff are fantastic, and should extremely proud of them selves"
277,Care,The level of professionalism and care at the QE's maternity unit is exceptional.
276,Care,I have felt that treatment is focused on me and that everything possible is being done to support me and treat me thoroughly - including support for my family. I love this unit!
275,Check-in,the quick admission to A&E via ambulance
274,Facilities,"The ward I was on was maternity and it was swarming with wood lice, not a very enjoyable experience at all."
273,Staff,some of the staff had a very abrubt manner.
272,,The hospital food was horrible.
271,Care, I was ushered through to a treatment room where I was overwhelmed with care and attention.  From that moment on I was subject to some of the best treatment anyone could ever want to receive. 
270,"Staff,Care","The speed and efficiency of the nurse who first assessed me on arrival at the QE Hospital was second to none.  The Doctors and Nurses were absolutely brilliant, I was treated with dignity and respect and was informed on a regular basis as to what treatment I would be receiving. "
269,Care,I have always been treated as a whole person they do not just look after your Liver. 
268,Staff,The surgical team were excellent and I am very grateful for the skilled person I was treated by.  The TRAINED nurses were also skilled and seemed professional.
266,Staff,catering staff on ward 14a were very friendly and helpful
265,Staff,Everybody on the ward was very helpfull and knew exactly how to help each person.
264,Facilities, The unit is very well organised and clean !
263,Staff,The nurses and doctors were very nice and easy to talk to.
262,Facilities,The facilities were clean.
261,Staff,"Staff were kind, helpful and professional."
260,Care, The level of information I was getting on handling treatment appeared to be people i came across undergoing cancer treatment at other hospitals.
259,," I must also commend the hospital food, it was exceptionally good considering it is made for the masses I was really impressed and the kitchen  need to be recognised for this."
258,Staff,The staff were fantastic so caring and professional and they listened to what you wanted to say. nurses and auxilery staff were really nice and professional.  In ICU the staff were special they were uplifting and nothing was too much trouble for them the should be commended.  This may sound strange but
257,Staff,The Medical Secretaries are always polite and helpful when contacted.
256,"Care,Staff",My operation was carried out with efficiency by highly skilled people - except for a trainee anaesthetist who messed-up a vein.
255,"Care,Staff","i was very grateful for the treatment i had, special thanks to the consultants and a nurse on west ward."
254,"Staff,Care",the staff were there for not just me but my family i know i could have died at any time and I'm now going home.
253,Care,straight forward treatment
252,Staff,The staff were amazing and took into account my nervousness both at being kept in overnight and the procedure being carried out on my heart
251,Staff,All staff very pleasant and friendly which puts you at ease.
250,Facilities,Hospital is more like a hotel and the waiting pods area is immaculate. 
249,Staff,"Both the nurses and the consultants that dealt with me were excellent, as were the anesthetists. thank you!"
248,"Staff,Care","I was extremely pleased to be allowed to return home, as the staff on the ward had not taken details of my medication and returning home enabled me to recommence medication as prescribed"
247,Facilities, the hospital was spotless whilst i was there and still is. 
246,Check-in,Generally waiting time was short....
245,Staff,PALS were helpful and staff in small cafe were always pleasant and helpful.
244,Care,I just grin and bear it and thank goodness that the treatment is good even if the experience is usually awful.
243,"Staff,Care","My dad had a major brain operation and when i went to visit him he was always being looked after, the nurses were very friendly and helped with any questions"
242,Staff,"We admired the  professional, considerate and kind way in  which my daughter and our family were treated. In particular the Consultants regularly kept us informed, the junior doctors were friendly and efficient and the nursing staff were beyond reproach, sympathetic and kind."
241,Staff,The Doctors were very understanding and helpful when they were there.
240,Staff,I was seen by the consultant straight away. He fully explained my diagnostic tests that I am to under go and what will happen during the tests. The nurses on duty were very helpful as were the reception staff.
239,Staff,"I was seen straight away the staff were kind, efficient and professional."
238,Staff,"Friendly, if somewhat harrassed staff"
237,Check-in,"I can only agree with the previous statement regarding blood tests.  I have tried three times to go and have a blood test in my dinner hour.  I can't understand why it should take so long.  For example the unit at xx General, you are rarely waiting more than 15/20 mins.  whereas yy you could be there over an hour, or more."
236,Facilities,The departmenr was maintained and cleaned to the highest standard. Thankyou
235,Staff,All the staff were great.  They made my stay really easy for me and my family.
234,Care,"She was diagnosed only 9 weeks before she passed away When we were told that she could not be operated on and that she was going to die, she was moved to be closer to home."
233,Care,"Quick, efficient, good medical advice."
232,"Staff,Care",I think the staff and receptionist was very friendly and they dealt with my injury in a postive manner and they made sure i was ok every few minutes.
231,"Care,Facilities","My mother was an in patient under the care of the doctor,.for rehabilitation following surgery. Her treatment was exemplary and the ward was spotless. "
230,"Care, ","I would especially commend the nurses in the Hospital who looked after me during a long wait on 1/7/09 for an ambulance car, keeping making calls to the service on my behalf and providing me with emergency diabetic food."
